msn.com,204.79.197.219
youtube.com,142.251.214.142
yahoo.com,74.6.143.26
live.com,204.79.197.212
microsoft.com,13.107.246.59
baidu.com,110.242.68.66
blogspot.com,142.251.46.201
qq.com,113.108.81.189
wikipedia.org,198.35.26.96
facebook.com,157.240.22.35
sina.com.cn,36.51.254.91
bing.com,150.171.28.10
taobao.com,59.82.122.165
twitter.com,162.159.140.229
ask.com,151.101.202.114
adobe.com,23.61.246.199
mozilla.com,35.190.14.201
163.com,59.111.160.244
youku.com,106.11.35.97
soso.com,43.153.249.87
wmfo.org,23.92.21.128
sdjjdsaf.com,
craigslist.org,208.82.238.129
hotmail.com,204.79.197.212
andysayler.com,159.89.253.85
360.cn,36.99.171.154
alibaba.com,47.246.136.156
weather.com,23.5.250.127
soku.com,106.11.47.19
renren.com,121.14.156.41
answers.com,151.101.0.203
blogger.com,142.251.214.137
vkontakte.ru,87.240.132.67
7k7k.com,106.75.33.163
livedoor.jp,147.92.240.79
rapidshare.com,0.0.0.0
photobucket.com,3.169.231.111
daum.net,211.249.220.24
seesaa.net,138.2.21.1
mediafire.com,104.17.151.117
ehow.com,172.64.150.140
apple.com,17.253.144.10
sohu.com,61.135.164.50
amazon.com,54.239.28.85
tudou.com,106.11.43.246
yahoo.co.jp,124.83.184.252
wordpress.com,192.0.78.9
goo.ne.jp,114.179.184.93
hao123.com,124.237.176.248
ebay.com,23.212.62.206
pps.tv,202.108.14.130
bbc.co.uk,151.101.192.81
windows.com,20.76.201.171
yandex.ru,77.88.55.88
xunlei.com,112.124.227.84
ifeng.com,82.156.59.186
paypal.com,151.101.195.1
ku6.com,117.50.1.222
myspace.com,34.111.176.156
fc2.com,199.48.210.151
56.com,219.136.249.83
sogou.com,43.153.236.147
rakuten.co.jp,133.237.180.69
tmall.com,59.82.133.159
mail.ru,217.69.139.202
2345.com,103.255.201.148
orkut.com.br,208.109.60.213
ameblo.jp,199.232.214.133
go.com,13.248.150.189
cnet.com,34.149.196.126
orkut.com,216.239.36.21
skype.com,20.112.250.133
about.com,151.101.130.137
flickr.com,3.163.123.104
4399.com,129.211.129.109
linkedin.com,150.171.22.12
dailymotion.com,195.8.215.136
4shared.com,204.155.146.95
amazon.co.jp,52.119.161.5
aol.com,76.223.84.192
imdb.com,52.94.237.74
naver.com,223.130.192.248
