facebook.com,157.240.22.35
youtube.com,142.250.189.238
baidu.com,110.242.68.66
microsoft.com,13.107.246.59
msn.com,204.79.197.219
wikipedia.org,198.35.26.96
qq.com,123.150.76.218
soso.com,43.153.236.147
ask.com,151.101.202.114
taobao.com,59.82.122.165
live.com,204.79.197.212
mozilla.com,35.190.14.201
blogspot.com,142.251.46.201
sina.com.cn,36.51.254.91
wmfo.org,23.92.21.128
163.com,59.111.160.244
sdjjdsaf.com,
bing.com,150.171.28.10
yahoo.com,74.6.231.20
andysayler.com,159.89.253.85
twitter.com,162.159.140.229
youku.com,106.11.35.97
adobe.com,23.67.33.101
