microsoft.com,13.107.246.59
msn.com,204.79.197.219
wikipedia.org,198.35.26.96
youtube.com,142.250.189.238
blogspot.com,142.251.46.201
baidu.com,39.156.66.10
facebook.com,157.240.22.35
yahoo.com,74.6.231.21
live.com,204.79.197.212
qq.com,203.205.254.157
sina.com.cn,36.51.254.91
ask.com,151.101.202.114
163.com,59.111.160.244
soso.com,43.153.249.87
bing.com,150.171.28.10
youku.com,106.11.35.97
twitter.com,162.159.140.229
mozilla.com,35.190.14.201
adobe.com,23.67.33.74
taobao.com,59.82.43.238
wmfo.org,23.92.21.128
andysayler.com,159.89.253.85
sdjjdsaf.com,
