youtube.com,142.250.189.238
blogspot.com,142.250.191.73
bing.com,150.171.27.10
tudou.com,106.11.43.215
qq.com,203.205.254.157
rakuten.co.jp,133.237.180.69
sogou.com,43.153.236.147
56.com,219.136.249.83
live.com,204.79.197.212
ku6.com,117.50.1.222
fc2.com,199.48.210.152
msn.com,204.79.197.219
facebook.com,157.240.22.35
apple.com,17.253.144.10
xunlei.com,121.41.61.107
windows.com,20.70.246.20
sohu.com,61.135.164.50
microsoft.com,13.107.246.59
amazon.com,52.94.236.248
ebay.com,23.216.149.153
baidu.com,110.242.68.66
twitter.com,162.159.140.229
163.com,59.111.160.244
ask.com,151.101.202.114
4399.com,129.211.129.109
go.com,13.248.150.189
ifeng.com,82.156.59.186
orkut.com.br,208.109.60.213
dailymotion.com,195.8.215.136
naver.com,223.130.200.219
goo.ne.jp,114.179.184.93
ameblo.jp,199.232.210.133
4shared.com,204.155.146.95
soso.com,43.153.249.87
andysayler.com,159.89.253.85
myspace.com,34.111.176.156
cnet.com,34.149.196.126
wordpress.com,192.0.78.9
imdb.com,52.94.228.167
mozilla.com,35.190.14.201
adobe.com,23.212.62.92
mail.ru,217.69.139.202
orkut.com,216.239.38.21
wmfo.org,23.92.21.128
paypal.com,151.101.3.1
wikipedia.org,198.35.26.96
skype.com,20.236.44.162
flickr.com,108.139.5.106
pps.tv,111.206.13.63
tmall.com,59.82.120.115
about.com,151.101.194.137
youku.com,106.11.43.107
amazon.co.jp,52.119.164.121
sina.com.cn,36.51.254.91
hao123.com,110.242.69.86
yandex.ru,77.88.55.88
bbc.co.uk,151.101.192.81
yahoo.com,74.6.143.25
aol.com,76.223.84.192
taobao.com,59.82.122.165
linkedin.com,150.171.22.12
yahoo.co.jp,182.22.31.124
sdjjdsaf.com,
